method,threshold,n_edges,n_confirmed,confirmation_rate,mean_wasserstein_confirmed
point_estimate,0.01,335,281,0.8388059701492537,0.22852153052275426
edge_frequency,0.5,285,248,0.8701754385964913,0.23322597715907198
edge_frequency,0.6,203,181,0.8916256157635468,0.23669026063173226
edge_frequency,0.7,141,124,0.8794326241134752,0.22746518070335123
edge_frequency,0.8,85,73,0.8588235294117647,0.2245335594299748
edge_frequency,0.9,47,41,0.8723404255319149,0.2274488769542616
median_effect,0.01,1018,868,0.8526522593320236,0.21941141145532816
median_effect,0.02,1009,859,0.8513379583746283,0.21982233641634594
median_effect,0.05,503,432,0.8588469184890656,0.23239815918007997
directional_ratio,0.6,421,367,0.8717339667458432,0.22716663502181353
directional_ratio,0.7,316,273,0.8639240506329114,0.22112832798976834
directional_ratio,0.8,211,184,0.8720379146919431,0.22127854883313364
directional_ratio,0.9,119,102,0.8571428571428571,0.2287866094541016
