cause_i,effect_j,lingam_b_ij,b_median_bootstrap,b_iqr_low,b_iqr_high,bootstrap_freq,is_stable_edge,has_path,n_int_cells,mw_pvalue_raw,mw_p_bh,wasserstein,verdict,mw_pvalue_raw_rev,mw_p_bh_rev
ENSG00000168028,ENSG00000174748,0.38186998468052163,0.17975138560161527,0.0,0.3681142194832836,0.65,False,True,179,2.348334056740795e-24,7.208839429994999e-24,0.2241740776178178,cyclic,4.393621901374186e-22,1.1988797746385375e-21
ENSG00000149273,ENSG00000138326,0.3534300288096313,0.16881242793316648,0.0,0.3479852648084015,0.62,False,True,221,2.717981269194193e-57,4.415674185029336e-56,0.4140594704516424,cyclic,4.3400052222938096e-76,2.182402626067744e-74
ENSG00000168028,ENSG00000188846,0.3186519517934703,0.2755307413450334,0.0,0.3279753690882378,0.73,False,True,179,1.675941676320699e-14,3.3018552429004815e-14,0.1508863067935327,cyclic,6.814301029467448e-49,6.424912399212164e-48
ENSG00000137818,ENSG00000105372,0.312002493153958,0.2217044898037263,0.1941878169758403,0.24669291542812455,0.81,True,True,94,0.15540247216123443,0.1712995935305465,0.04345300148754071,refuted,1.3661376786196893e-78,8.014674381235511e-77
ENSG00000149273,ENSG00000122406,0.30007941376511504,0.10748322098671463,0.0,0.15874009595866648,0.69,False,True,221,8.122697211284611e-51,8.327736170016066e-50,0.3079226116770899,cyclic,9.909696187304984e-16,2.0478745936974686e-15
ENSG00000145425,ENSG00000109475,0.2990753998767239,0.2861522058672611,0.2728235632468132,0.298878182582761,0.97,True,True,128,3.183019641030946e-24,9.686653432071122e-24,0.33690860839984205,cyclic,0.022949474360754483,0.027823932175610487
ENSG00000142541,ENSG00000142534,0.2975545536763278,0.29904879354580205,0.0,0.3186950044483782,0.74,False,True,126,0.10135659223884659,0.11398568839640255,0.06001254897358592,refuted,3.84647951930493e-65,9.231550846331832e-64
ENSG00000174748,ENSG00000188846,0.29224389631626785,0.22303285532497433,0.0,0.29544785457193745,0.68,False,True,134,1.0625549413114163e-15,2.1915195664547962e-15,0.2940321794406431,cyclic,2.8169468301806647e-18,6.369798399723302e-18
ENSG00000063177,ENSG00000083845,0.2628865990728343,0.22503618629858765,0.0,0.26054523655833073,0.72,False,True,246,1.3429044697746245e-05,1.8733251256037035e-05,0.07474887650225497,cyclic,4.6163324771653335e-19,1.0905698201088573e-18
ENSG00000174748,ENSG00000144713,0.26215898480342387,0.27162037350639134,0.0,0.31805196660660184,0.74,False,True,134,5.379401077955697e-13,9.743820820448054e-13,0.2434010364707708,cyclic,0.0008880752994749094,0.0011606528666404756
ENSG00000164587,ENSG00000186468,0.2481543473691653,0.2503479470374722,0.2320393533839849,0.26437947435312376,0.9,True,True,145,2.9211847326255126e-21,7.635571974387479e-21,0.21676040135489122,cyclic,3.409447772710817e-13,6.250654249969832e-13
ENSG00000149273,ENSG00000198034,0.24439296460293555,0.2281387970511134,0.0,0.2580745555403703,0.73,False,True,221,3.558472332991343e-46,2.783516136028784e-45,0.30149785708847765,cyclic,9.6840856993742e-68,2.763890405010582e-66
ENSG00000105372,ENSG00000063177,0.24270414880309754,0.1904009004683297,0.08636811335356384,0.210709690292313,0.75,False,True,337,3.329306116173407e-58,6.061633204619169e-57,0.257441345894334,cyclic,1.3921317349641866e-15,2.8600994399264223e-15
ENSG00000105372,ENSG00000233927,0.23424676149144913,0.0,0.0,0.1907954265006321,0.34,False,True,337,6.2194358517034444e-86,5.970658417635307e-84,0.4179399144690156,cyclic,3.0801134812013424e-39,1.7209522942585277e-38
ENSG00000137818,ENSG00000233927,0.2333998355060521,0.0,0.0,0.21610890585122006,0.42,False,True,94,0.9211385473555969,0.9264021961976289,0.029366903189685,refuted,2.5262902082696444e-42,1.6366640858483097e-41
ENSG00000137818,ENSG00000089157,0.22904515387273133,0.2313266191685556,0.21883152551247484,0.23812148911844133,1.0,True,True,94,4.323863624285283e-06,6.237704900608277e-06,0.12388320375844229,cyclic,3.638741538541691e-18,8.175555456808564e-18
ENSG00000188846,ENSG00000144713,0.21316694896364677,0.2102066242586221,0.0,0.2681981226947628,0.65,False,True,176,6.078725848330871e-13,1.0991668657255822e-12,0.1716781822531589,cyclic,0.04028493941956502,0.047425748079220356
ENSG00000149273,ENSG00000161970,0.2059483151625059,0.10581033654185132,0.0,0.20601125952015129,0.65,False,True,221,4.6367935345975434e-32,1.990428444119921e-31,0.28248552810654537,cyclic,6.6659502304762e-36,3.336134333356809e-35
ENSG00000105372,ENSG00000083845,0.2041930433358358,0.19195523801902004,0.1648297498567756,0.23045099613848147,0.96,True,True,337,1.97934997321009e-20,4.941355961489019e-20,0.15469919449028588,cyclic,9.451342398453185e-28,3.465492212766167e-27
ENSG00000233927,ENSG00000145592,0.20379508996803605,0.12809646572807412,0.0,0.1860446685101573,0.51,False,True,247,3.4586003770188184e-50,3.4455490548413884e-49,0.3192991581235709,cyclic,0.008212372689584711,0.010250904917495808
ENSG00000170889,ENSG00000142541,0.2023578112824145,0.0,0.0,0.17124357207364216,0.37,False,True,221,2.4792884462912474e-40,1.4626416755774063e-39,0.3691690922316108,cyclic,0.01799443719222591,0.02196597750128717
ENSG00000138326,ENSG00000161970,0.19586628251939375,0.16962147774264902,0.1393541834105078,0.214540362944463,0.89,True,True,194,2.265447850443888e-27,8.164890546309713e-27,0.2732463856809491,cyclic,2.8467547578838902e-22,7.869562890904158e-22
ENSG00000134419,ENSG00000109475,0.1951334256247827,0.1725422575700363,0.15387945735509978,0.1864762853913004,0.78,False,True,251,1.1501196746009175e-43,7.785425489606212e-43,0.3025077690639578,cyclic,0.0029868339141188678,0.003795543457652857
ENSG00000105372,ENSG00000142541,0.19141440316669436,0.19005404620163852,0.15992489769832952,0.21751283759809084,0.96,True,True,337,5.102187959757898e-93,6.734888106880425e-91,0.45310428249925094,confirmed,0.3859429344578317,0.409603757575347
ENSG00000149273,ENSG00000083845,0.1883074974638545,0.14982630597605162,0.0,0.1976215649790358,0.74,False,True,221,1.6121553372126373e-07,2.470879587948541e-07,0.10301637926303867,cyclic,8.909411790091154e-42,5.600201696628726e-41
ENSG00000149273,ENSG00000145592,0.18453111708469608,0.07969037380626381,0.0,0.1558609810714749,0.63,False,True,221,4.174547642216428e-57,6.679276227546285e-56,0.37918390663884144,cyclic,2.564562049806482e-09,4.2001245176932605e-09
ENSG00000168028,ENSG00000144713,0.17770786637520974,0.23110027480473305,0.1814493380029567,0.24762352908429516,0.93,True,True,179,5.570666428353843e-15,1.1183695339052581e-14,0.1625811227102194,cyclic,1.1871264071261343e-16,2.537662926974085e-16
ENSG00000137818,ENSG00000112306,0.17468632511624185,0.18315529851791235,0.17127314699362983,0.19955902157672784,1.0,True,True,94,0.062321449206300734,0.07169003307391457,0.07341574342438639,refuted,4.579863933216562e-73,1.7272629690988179e-71
ENSG00000089009,ENSG00000089157,0.16956578797682342,0.17315406937651795,0.16413638287075777,0.18143226974932197,1.0,True,True,218,9.100625441570992e-05,0.00012352519879561656,0.09369389403855136,cyclic,0.0034150428573025884,0.004324083042339968
