gene_A,gene_B,pearson_r,lingam_direction,effect_size_b,boot_freq_forward,boot_freq_reverse,directional_ratio,interventional_verdict,forward_mw_p,reverse_mw_p
ENSG00000174748,ENSG00000144713,0.5747615702753928,A→B,0.26215898480342387,0.74,0.26,0.74,cyclic,5.379401077955697e-13,0.0008880752994749094
ENSG00000188846,ENSG00000144713,0.5680294413956442,A→B,0.21316694896364677,0.65,0.35,0.65,cyclic,6.078725848330871e-13,0.04028493941956502
ENSG00000174748,ENSG00000188846,0.5618471841461083,A→B,0.29224389631626785,0.68,0.32,0.68,cyclic,1.0625549413114163e-15,2.8169468301806647e-18
ENSG00000188846,ENSG00000168028,0.5384383858479505,B→A,0.3186519517934703,0.73,0.27,0.73,cyclic,1.675941676320699e-14,6.814301029467448e-49
ENSG00000164587,ENSG00000186468,0.5338161078964432,A→B,0.2481543473691653,0.9,0.1,0.9,cyclic,2.9211847326255126e-21,3.409447772710817e-13
ENSG00000142541,ENSG00000142534,0.5324440812992073,A→B,0.2975545536763278,0.74,0.26,0.74,refuted,0.10135659223884659,3.84647951930493e-65
ENSG00000144713,ENSG00000168028,0.4913850997752006,B→A,0.17770786637520974,0.93,0.07,0.93,cyclic,5.570666428353843e-15,1.1871264071261343e-16
ENSG00000198034,ENSG00000149273,0.4892354453967563,B→A,0.24439296460293555,0.73,0.27,0.73,cyclic,3.558472332991343e-46,9.6840856993742e-68
ENSG00000174748,ENSG00000168028,0.4854620590697551,B→A,0.38186998468052163,0.65,0.35,0.65,cyclic,2.348334056740795e-24,4.393621901374186e-22
ENSG00000164587,ENSG00000231500,0.4733891313696131,B→A,0.16776380390117202,0.86,0.14,0.86,cyclic,2.726143170362186e-19,1.0193290600823259e-13
ENSG00000161970,ENSG00000231500,0.47163665437505875,A→B,0.09525001486889187,0.56,0.44,0.56,cyclic,1.0941531305514467e-06,8.488172399629744e-16
ENSG00000149273,ENSG00000231500,0.4705669317281321,A→B,0.07871304690169165,0.66,0.34,0.66,cyclic,1.5887044934772759e-18,1.8195575223344957e-45
ENSG00000142541,ENSG00000170889,0.46996086815189975,B→A,0.2023578112824145,0.37,0.63,0.63,cyclic,2.4792884462912474e-40,0.01799443719222591
ENSG00000142541,ENSG00000231500,0.45883668255732324,B→A,0.1523215561994089,0.69,0.31,0.69,confirmed,3.237496506308068e-34,0.7895549653155274
